ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType
410989,414470000000,,,-1168859867133864960,0.0,1.5004210472106934E7,3.9062498951249975,316.8858904382445,1,6,0.0,15,386681533340918,14,30.1,496.34930419921875,0.04530000314116478,0,0.0,0.0,,,,,0,,1
410990,414470000000,,,-1168859867133864960,0.0,1.5004210472106934E7,3.9062498951249975,316.8858904382445,1,16,0.0,15,386681525258279,24,25.7,-85.44839477539062,0.38929998874664307,0,0.0,0.0,,,,,0,,1
410991,414470000000,,,-1168859867133864960,0.0,1.5004210472106934E7,3.9062498951249975,316.8858904382445,1,30,0.0,15,386681528865724,14,30.9,-665.9118041992188,0.037800002843141556,0,0.0,0.0,,,,,0,,1
411989,415470000000,,,-1168859867133864448,0.0,1.5004201889038086E7,5.8593746438678025,316.8858904382445,1,2,0.0,15,386682533998011,35,22.7,-39.495452880859375,0.7459999918937683,0,0.0,0.0,,,,,0,,1
411990,415470000000,,,-1168859867133864448,0.0,1.5004201889038086E7,5.8593746438678025,316.8858904382445,1,5,0.0,15,386682529248737,61,18.7,-588.0835571289062,1.0099999904632568,0,0.0,0.0,,,,,0,,1
411992,415470000000,,,-1168859867133864448,0.0,1.5004201889038086E7,5.8593746438678025,316.8858904382445,1,6,0.0,15,386682533339262,14,30.1,496.5598449707031,0.04530000314116478,0,0.0,0.0,,,,,0,,1
411993,415470000000,,,-1168859867133864448,0.0,1.5004201889038086E7,5.8593746438678025,316.8858904382445,1,16,0.0,15,386682525258614,21,26.5,-85.20236206054688,0.11869999766349792,0,0.0,0.0,,,,,0,,1
411994,415470000000,,,-1168859867133864448,0.0,1.5004201889038086E7,5.8593746438678025,316.8858904382445,1,30,0.0,15,386682528867929,14,30.6,-665.7704467773438,0.037800002843141556,0,0.0,0.0,,,,,0,,1
412974,416470000000,,,-1168859867133864448,0.0,1.5004515647888184E7,4.882812468316094,316.8858904382445,1,2,0.0,15,386683533998188,35,22.5,-39.076805114746094,0.7459999918937683,0,0.0,0.0,,,,,0,,1
412976,416470000000,,,-1168859867133864448,0.0,1.5004515647888184E7,4.882812468316094,316.8858904382445,1,5,0.0,15,386683529250669,53,19.0,-587.9313354492188,1.0099999904632568,0,0.0,0.0,,,,,0,,1
412978,416470000000,,,-1168859867133864448,0.0,1.5004515647888184E7,4.882812468316094,316.8858904382445,1,6,0.0,15,386683533337623,16,29.7,495.888427734375,0.04620000347495079,0,0.0,0.0,,,,,0,,1
412979,416470000000,,,-1168859867133864448,0.0,1.5004515647888184E7,4.882812468316094,316.8858904382445,1,16,0.0,15,386683525258875,21,26.1,-85.85933685302734,0.11869999766349792,0,0.0,0.0,,,,,0,,1
412981,416470000000,,,-1168859867133864448,0.0,1.5004515647888184E7,4.882812468316094,316.8858904382445,1,30,0.0,15,386683528870194,16,29.4,-666.384765625,0.038700003176927567,0,0.0,0.0,,,,,0,,1
413998,417470000000,,,-1168859867133864448,0.0,1.5004829406738281E7,3.9062498951249975,316.8858904382445,1,2,0.0,15,386684533998210,31,23.5,-40.42789077758789,0.6859999895095825,0,0.0,0.0,,,,,0,,1
414000,417470000000,,,-1168859867133864448,0.0,1.5004829406738281E7,3.9062498951249975,316.8858904382445,1,5,0.0,15,386684529252699,53,19.8,-588.9874877929688,0.9299999475479126,0,0.0,0.0,,,,,0,,1
414001,417470000000,,,-1168859867133864448,0.0,1.5004829406738281E7,3.9062498951249975,316.8858904382445,1,6,0.0,15,386684533335979,16,29.4,495.6699523925781,0.04620000347495079,0,0.0,0.0,,,,,0,,1
414002,417470000000,,,-1168859867133864448,0.0,1.5004829406738281E7,3.9062498951249975,316.8858904382445,1,16,0.0,15,386684525259155,21,26.3,-86.01055145263672,0.11869999766349792,0,0.0,0.0,,,,,0,,1
414003,417470000000,,,-1168859867133864448,0.0,1.5004829406738281E7,3.9062498951249975,316.8858904382445,1,30,0.0,15,386684528872381,16,29.4,-666.6531372070312,0.038700003176927567,0,0.0,0.0,,,,,0,,1
414973,418470000000,,,-1168859867133863936,0.0,1.5004190444946289E7,3.9062498951249975,316.8858904382445,1,2,0.0,15,386685533998442,31,23.8,-39.35272979736328,0.6859999895095825,0,0.0,0.0,,,,,0,,1
414974,418470000000,,,-1168859867133863936,0.0,1.5004190444946289E7,3.9062498951249975,316.8858904382445,1,5,0.0,15,386685529254543,46,20.2,-588.7876586914062,0.9299999475479126,0,0.0,0.0,,,,,0,,1
414975,418470000000,,,-1168859867133863936,0.0,1.5004190444946289E7,3.9062498951249975,316.8858904382445,1,6,0.0,15,386685533334292,14,30.5,496.07891845703125,0.04530000314116478,0,0.0,0.0,,,,,0,,1
414976,418470000000,,,-1168859867133863936,0.0,1.5004190444946289E7,3.9062498951249975,316.8858904382445,1,16,0.0,15,386685525259417,21,26.0,-85.61612701416016,0.11869999766349792,0,0.0,0.0,,,,,0,,1
414979,418470000000,,,-1168859867133863936,0.0,1.5004190444946289E7,3.9062498951249975,316.8858904382445,1,30,0.0,15,386685528874614,16,29.9,-666.3851318359375,0.038700003176927567,0,0.0,0.0,,,,,0,,1
415992,419470000000,,,-1168859867133863936,0.0,1.5004504203796387E7,2.9296873219339012,316.8858904382445,1,2,0.0,15,386686533998482,31,23.0,-41.07489013671875,0.7459999918937683,0,0.0,0.0,,,,,0,,1
415994,419470000000,,,-1168859867133863936,0.0,1.5004504203796387E7,2.9296873219339012,316.8858904382445,1,5,0.0,15,386686529256560,46,20.0,-588.9494018554688,0.9299999475479126,0,0.0,0.0,,,,,0,,1
415996,419470000000,,,-1168859867133863936,0.0,1.5004504203796387E7,2.9296873219339012,316.8858904382445,1,6,0.0,15,386686533332622,16,29.3,495.0126647949219,0.04620000347495079,0,0.0,0.0,,,,,0,,1
415997,419470000000,,,-1168859867133863936,0.0,1.5004504203796387E7,2.9296873219339012,316.8858904382445,1,16,0.0,15,386686525259725,27,24.7,-86.86905670166016,0.6240000128746033,0,0.0,0.0,,,,,0,,1
415998,419470000000,,,-1168859867133863936,0.0,1.5004504203796387E7,2.9296873219339012,316.8858904382445,1,30,0.0,15,386686528876849,16,29.5,-667.4351196289062,0.038700003176927567,0,0.0,0.0,,,,,0,,1
