ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType
16115165,16119910000000,,,-1163849822488335360,0.0,152.96023047994822,-79.29626062567162,9.154156558166324,780,6,0.0,15,230742321205022,14,30.4,635.9461669921875,0.027300000190734863,0,0.0,0.0,,,,,0,,1
16115167,16119910000000,,,-1163849822488335360,0.0,152.96023047994822,-79.29626062567162,9.154156558166324,780,7,0.0,15,230742328996110,7,37.0,-76.29850769042969,0.032600000500679016,0,0.0,0.0,,,,,0,,1
16115168,16119910000000,,,-1163849822488335360,0.0,152.96023047994822,-79.29626062567162,9.154156558166324,780,9,0.0,15,230742326153390,5,41.0,440.45050048828125,0.02810000069439411,0,0.0,0.0,,,,,0,,1
16115170,16119910000000,,,-1163849822488335360,0.0,152.96023047994822,-79.29626062567162,9.154156558166324,780,16,0.0,15,230742317303278,64,18.6,213.8330078125,1.7720000743865967,0,0.0,0.0,,,,,0,,1
16115171,16119910000000,,,-1163849822488335360,0.0,152.96023047994822,-79.29626062567162,9.154156558166324,780,23,0.0,15,230742316072838,40,21.1,579.2825317382812,0.8704999685287476,0,0.0,0.0,,,,,0,,1
16115172,16119910000000,,,-1163849822488335360,0.0,152.96023047994822,-79.29626062567162,9.154156558166324,780,29,0.0,15,230742315946169,53,19.4,193.54769897460938,1.0190000534057617,0,0.0,0.0,,,,,0,,1
16115172,16119910000000,,,-1163849822488335360,0.0,152.96023047994822,-79.29626062567162,9.154156558166324,780,30,0.0,15,230742326891334,31,23.7,-493.6503601074219,0.6754999756813049,0,0.0,0.0,,,,,0,,1
16116123,16120910000000,,,-1163849822488335872,0.0,154.9077860545367,-83.68203857154232,10.226344246682206,780,5,0.0,15,230743326258458,12,32.7,-477.14752197265625,0.03290000185370445,0,0.0,0.0,,,,,0,,1
16116124,16120910000000,,,-1163849822488335872,0.0,154.9077860545367,-83.68203857154232,10.226344246682206,780,6,0.0,15,230743321202888,13,31.0,637.1680908203125,0.02670000120997429,0,0.0,0.0,,,,,0,,1
16116125,16120910000000,,,-1163849822488335872,0.0,154.9077860545367,-83.68203857154232,10.226344246682206,780,7,0.0,15,230743328996384,7,37.1,-74.93565368652344,0.032600000500679016,0,0.0,0.0,,,,,0,,1
